name;weight;food_type;for_vegetarian
Parmská šunka s melounovou variací;70 g;předkrm;False
Kachní paštika s brusinkovou omáčkou, toast;70 g;předkrm;False
Carpacio z červené řepy s balsamikem a kozím sýrem - vhodné pro vegetariány;60 g;předkrm;True
Zámecká svíčková na smetaně s variací knedlíků;120 g;hlavní chod;False
Vepřový řízek s bramborovým salátem;150 g;hlavní chod;False
Grilované tofu s teriaky omáčkou a grilovanou zeleninou - vhodné pro vegetariány;120 g;hlavní chod;True
Hovězí vývar s játrovými knedlíčky;;polévka;False
Polévka Minestrone - vhodná pro vegetariány;;polévka;True
